# capitals
what is the capital of afghanistan|capital of afghanistan	Kabul.
what is the capital of albania|capital of albania	Tirana.
what is the capital of algeria|capital of algeria	Algiers.
what is the capital of andorra|capital of andorra	Andorra la Vella.
what is the capital of angola|capital of angola	Luanda.
what is the capital of antigua and barbuda|capital of antigua and barbuda	Saint John's.
what is the capital of armenia|capital of armenia	Yerevan.
what is the capital of azerbaijan|capital of azerbaijan	Baku.
what is the capital of the bahamas|capital of the bahamas|capital of bahamas	Nassau.
what is the capital of bahrain|capital of bahrain	Manama.
what is the capital of bangladesh|capital of bangladesh	Dhaka.
what is the capital of barbados|capital of barbados	Bridgetown.
what is the capital of belarus|capital of belarus	Minsk.
what is the capital of belize|capital of belize	Belmopan.
what is the capital of benin|capital of benin	Porto-Novo.
what is the capital of bhutan|capital of bhutan	Thimphu.
what is the capital of bolivia|capital of bolivia	Sucre; La Paz is the seat of government.
what is the capital of bosnia and herzegovina|capital of bosnia and herzegovina	Sarajevo.
what is the capital of botswana|capital of botswana	Gaborone.
what is the capital of brunei|capital of brunei	Bandar Seri Begawan.
what is the capital of bulgaria|capital of bulgaria	Sofia.
what is the capital of burkina faso|capital of burkina faso	Ouagadougou.
what is the capital of burundi|capital of burundi	Gitega.
what is the capital of cambodia|capital of cambodia	Phnom Penh.
what is the capital of cameroon|capital of cameroon	Yaounde.
what is the capital of cape verde|capital of cape verde|what is the capital of cabo verde|capital of cabo verde	Praia.
what is the capital of the central african republic|capital of the central african republic|capital of central african republic	Bangui.
what is the capital of chad|capital of chad	N'Djamena.
what is the capital of comoros|capital of comoros	Moroni.
what is the capital of the republic of the congo|capital of the republic of the congo|what is the capital of congo|capital of congo|capital of republic of the congo	Brazzaville.
what is the capital of the democratic republic of the congo|capital of the democratic republic of the congo|what is the capital of drc|capital of drc|what is the capital of dr congo|capital of dr congo|capital of democratic republic of the congo	Kinshasa.
what is the capital of costa rica|capital of costa rica	San Jose.
what is the capital of ivory coast|capital of ivory coast|what is the capital of cote d'ivoire|capital of cote d'ivoire	Yamoussoukro.
what is the capital of croatia|capital of croatia	Zagreb.
what is the capital of cuba|capital of cuba	Havana.
what is the capital of cyprus|capital of cyprus	Nicosia.
what is the capital of the czech republic|capital of the czech republic|what is the capital of czechia|capital of czechia|capital of czech republic	Prague.
what is the capital of djibouti|capital of djibouti	Djibouti.
what is the capital of dominica|capital of dominica	Roseau.
what is the capital of the dominican republic|capital of the dominican republic|capital of dominican republic	Santo Domingo.
what is the capital of ecuador|capital of ecuador	Quito.
what is the capital of el salvador|capital of el salvador	San Salvador.
what is the capital of equatorial guinea|capital of equatorial guinea	Malabo.
what is the capital of eritrea|capital of eritrea	Asmara.
what is the capital of estonia|capital of estonia	Tallinn.
what is the capital of eswatini|capital of eswatini|what is the capital of swaziland|capital of swaziland	Mbabane.
what is the capital of ethiopia|capital of ethiopia	Addis Ababa.
what is the capital of fiji|capital of fiji	Suva.
what is the capital of gabon|capital of gabon	Libreville.
what is the capital of the gambia|capital of the gambia|capital of gambia	Banjul.
what is the capital of georgia|capital of georgia	Tbilisi. The US state's capital is Atlanta.
what is the capital of ghana|capital of ghana	Accra.
what is the capital of grenada|capital of grenada	Saint George's.
what is the capital of guatemala|capital of guatemala	Guatemala City.
what is the capital of guinea|capital of guinea	Conakry.
what is the capital of guinea-bissau|capital of guinea-bissau	Bissau.
what is the capital of guyana|capital of guyana	Georgetown.
what is the capital of haiti|capital of haiti	Port-au-Prince.
what is the capital of honduras|capital of honduras	Tegucigalpa.
what is the capital of hungary|capital of hungary	Budapest.
what is the capital of iceland|capital of iceland	Reykjavik.
what is the capital of iraq|capital of iraq	Baghdad.
what is the capital of jamaica|capital of jamaica	Kingston.
what is the capital of jordan|capital of jordan	Amman.
what is the capital of kazakhstan|capital of kazakhstan	Astana.
what is the capital of kiribati|capital of kiribati	South Tarawa.
what is the capital of kuwait|capital of kuwait	Kuwait City.
what is the capital of kyrgyzstan|capital of kyrgyzstan	Bishkek.
what is the capital of laos|capital of laos	Vientiane.
what is the capital of latvia|capital of latvia	Riga.
what is the capital of lebanon|capital of lebanon	Beirut.
what is the capital of lesotho|capital of lesotho	Maseru.
