# Survival: what to do when there is no signal, no help nearby, or no time.
# question[|paraphrase|...]<TAB>answer. Answers are direct and short; each follows the
# source named in its section. When sources disagree, the more cautious advice is used.
# ---- priorities (US Army survival manual FM 21-76, public domain)
what is the rule of threes|rule of threes|rule of 3 survival|survival rule of three|what is the survival rule of 3|survival rule of threes|rule of 3	3 min air, 3 h shelter, 3 days water, 3 wk food.
what are the survival priorities|survival priorities|what should i do first in a survival situation|what comes first in survival|order of survival priorities|what to do first when stranded|what do i do first if stranded|what to do first in an emergency outdoors|survival order|what is most important for survival|what to prioritize in survival	First aid, then shelter, then water, then food.
how long can you survive without food|how long can a person live without food|how long can you go without eating|how many days without food|how long can i go without food|how long can a human go without food|how long can you live without eating|how long without food|how long can you starve	About 3 weeks, if you have water.
how long can you survive without air|how long can you go without breathing|how long can you survive without oxygen|how long can you hold your breath before dying|how long can the brain go without oxygen	About 3 minutes.
how long can you survive in the cold without shelter|how long can you survive without shelter	About 3 hours in harsh weather.
is food or water more important|what is more important food or water|do i need food or water first|food or water first|what matters more food or water|should i look for food or water first|which is more important water or food	Water. Without it you last days, not weeks.
what does stop mean in survival|stop acronym survival|survival stop|what does stop stand for	Stop, Think, Observe, Plan.
what do i do if i get lost|i am lost|im lost|i got lost|what to do if lost in the woods|lost in the woods|lost while hiking|i got lost hiking|what should i do if im lost|what to do when lost|what should i do if i get lost|what to do if lost hiking|lost in the forest|lost in the wild|lost in the wilderness|i am lost in the woods|help im lost|what do i do when im lost in the woods|what should i do if lost|lost hiker what to do|what to do if you get lost outdoors	Stop and stay put, keep warm, signal for help.
should i stay put if lost|should i stay in one place if im lost|should i stay where i am if lost|is it better to stay put when lost|should i wait for rescue|should i stay put or move|should i wait to be found	Yes. Rescuers find people who stay put faster.
should i keep walking if lost|should i try to walk out if lost|should i keep moving if lost	No. Stay put unless staying is dangerous.
what should i tell someone before hiking|who should i tell before hiking|should i tell someone before a hike|what to tell someone before a trip|what should i leave with someone before a hike|tell someone my plans before hiking	Your route, and when you'll be back.
what should i bring on a hike|what to pack for a hike|hiking essentials|what to take hiking|what to bring hiking	Water, food, map, light, layers, first aid.
what should be in a survival kit|survival kit essentials|what to put in a survival kit|survival kit list|what goes in a survival kit|what to carry in a survival kit|what should i have in a survival kit|survival kit items|what do i need in a survival kit|basic survival kit	Knife, water, fire, light, first aid, whistle.
