# question[|paraphrase|...]<TAB>answer
# Answers must be direct: the answer only, no preamble, no restating the question.
# Animals
how much does a hummingbird weigh|what is the weight of a hummingbird|how heavy is a hummingbird	Between 2 and 20 grams.
how fast can a cheetah run|what is the top speed of a cheetah|how fast is a cheetah	About 110 km/h.
how long do cats live|what is the lifespan of a cat|how many years does a cat live	12 to 18 years.
how long do dogs live|what is the lifespan of a dog|how many years does a dog live	10 to 13 years.
how many legs does a spider have|how many legs do spiders have	8.
how many legs does an insect have|how many legs do insects have	6.
how many hearts does an octopus have|how many hearts do octopuses have	3.
how many arms does an octopus have|how many arms do octopuses have	8.
what is the largest animal|what is the biggest animal on earth|what is the largest animal ever	The blue whale.
what is the tallest animal|what is the tallest animal on earth	The giraffe.
what is the fastest bird|which bird is the fastest	The peregrine falcon.
what is the fastest land animal|which land animal is fastest	The cheetah.
what is the largest bird|what is the biggest bird	The ostrich.
what is the smallest bird|what is the tiniest bird	The bee hummingbird.
how much does a blue whale weigh|what is the weight of a blue whale|how heavy is a blue whale	Up to about 190 tonnes.
how much does an elephant weigh|what is the weight of an elephant|how heavy is an elephant	2.5 to 7 tonnes.
how long is a giraffe's neck|how long is a giraffe neck	About 2 meters.
what do pandas eat|what does a panda eat	Bamboo.
what do koalas eat|what does a koala eat	Eucalyptus leaves.
what is a group of lions called|what do you call a group of lions	A pride.
what is a group of wolves called|what do you call a group of wolves	A pack.
what is a group of crows called|what do you call a group of crows	A murder.
are whales mammals|is a whale a mammal	Yes.
are bats mammals|is a bat a mammal	Yes.
is a spider an insect|are spiders insects	No, it is an arachnid.
is a tomato a fruit|are tomatoes fruit	Yes.
how many teeth does an adult human have|how many teeth do adults have	32.
how many bones are in the human body|how many bones does an adult have	206.
how many chambers does the human heart have|how many chambers are in the heart	4.
what is the largest organ of the human body|what is the biggest organ in the body	The skin.
what is the smallest bone in the human body|what is the smallest bone in the body	The stapes, in the ear.
what is the largest bone in the human body|what is the longest bone in the body	The femur.
how many chromosomes do humans have|how many chromosomes does a human have	46.
what is the normal human body temperature|what is normal body temperature	About 37 C.
how much blood is in the human body|how many liters of blood does a person have	About 5 liters.
what is the normal resting heart rate|what is a normal heart rate	60 to 100 beats per minute.
how much water should i drink a day|how much water should a person drink daily	About 2 to 3 liters.
how many hours should an adult sleep|how much sleep does an adult need	7 to 9 hours.
how long can a human live without water|how long can you survive without water	About 3 days.
how long is a human pregnancy|how long does pregnancy last	About 40 weeks.
what percent of the human body is water|how much of the body is water	About 60 percent.
# Space
how far is the moon|what is the distance to the moon|how far away is the moon	About 384,400 km.
how far is the sun|what is the distance to the sun|how far away is the sun	About 150 million km.
how long does light from the sun take to reach earth|how long does sunlight take to reach earth	About 8 minutes 20 seconds.
how many planets are in the solar system|how many planets are there	8.
what is the largest planet|what is the biggest planet	Jupiter.
what is the smallest planet|what is the tiniest planet	Mercury.
what is the hottest planet|which planet is hottest	Venus.
what is the closest planet to the sun|which planet is nearest the sun	Mercury.
what is the farthest planet from the sun|which planet is farthest from the sun	Neptune.
which planet is called the red planet|what is the red planet	Mars.
which planet has the most moons|what planet has the most moons	Saturn.
how many moons does mars have|how many moons orbit mars	2.
how many moons does earth have|how many moons do we have	1.
how old is the earth|what is the age of the earth	About 4.54 billion years.
how old is the universe|what is the age of the universe	About 13.8 billion years.
how old is the sun|what is the age of the sun	About 4.6 billion years.
what is the closest star to earth|what is the nearest star	The Sun.
what is the closest star to the sun|what is the nearest star after the sun	Proxima Centauri.
what galaxy do we live in|what is our galaxy called	The Milky Way.
how long is a day on mars|how long is a mars day	24 hours 37 minutes.
how long is a year on mars|how long is a mars year	687 Earth days.
how long does earth take to orbit the sun|how long is a year	365.25 days.
how long does the earth take to rotate|how long is a day	About 24 hours.
what is the diameter of the earth|how wide is the earth	About 12,742 km.
what is the circumference of the earth|how big around is the earth	About 40,075 km.
what is the diameter of the moon|how wide is the moon	About 3,474 km.
who was the first person on the moon|who first walked on the moon	Neil Armstrong.
when did humans land on the moon|what year did we land on the moon	1969.
who was the first person in space|who first went to space	Yuri Gagarin.
when was the first person in space|what year did humans first go to space	1961.
what is the gravity on earth|what is the acceleration of gravity	9.81 m/s2.
what is the gravity on the moon|how strong is gravity on the moon	1.62 m/s2.
what is a light year|what does light year mean	The distance light travels in a year.
how far is a light year|how long is a light year	About 9.46 trillion km.
what is the sun made of|what is the sun mostly made of	Hydrogen and helium.
what is the temperature of the sun's surface|how hot is the surface of the sun|how hot is the sun	About 5,500 C.
# Physics and chemistry
what is the speed of light|how fast is light|how fast does light travel	299,792 km/s.
what is the speed of sound|how fast is sound|how fast does sound travel	About 343 m/s.
at what temperature does water boil|what is the boiling point of water|when does water boil	100 C at sea level.
at what temperature does water freeze|what is the freezing point of water|when does water freeze	0 C.
what is absolute zero|how cold is absolute zero	-273.15 C.
what is the chemical formula for water|what is water made of	H2O.
